"strain","pathway","NES_NoRha","NES_Rha","padj_NoRha","padj_Rha"
286,"Sigma54_targets",-2.08113427731391,2.55095556877951,2.24740190943115e-08,1.6926699552468e-41
286,"Anti_sigma_system",1.02252386228052,0.788772648184504,0.780464216634429,0.920610687022901
286,"NO_reductase",-1.15122133742024,1.24621223438552,0.780464216634429,0.441121495327103
286,"Pyrimidine_Aspartate",-1.06438847535803,0.506064012679953,0.780464216634429,0.975700934579439
286,"Glycine_cleavage",0.575463248664246,1.3781714832418,0.918762088974855,0.234732824427481
286,"PFLU1132_pathway",-0.727368865767119,-0.936484868189814,0.918762088974855,0.860813704496788
2209,"Sigma54_targets",2.33826098387756,2.78519153080829,1.69595880858106e-29,2.50375669026534e-44
2209,"NO_reductase",-1.40477127673468,0.661219355585258,0.163865546218487,0.848484848484849
2209,"PFLU1132_pathway",-1.44762884511172,-1.10062807654603,0.163865546218487,0.848484848484849
2209,"Glycine_cleavage",-1.01172179066756,-0.79523193376372,0.7529296875,0.848484848484849
2209,"Anti_sigma_system",-0.596744849436103,-1.02802178404807,0.9140625,0.848484848484849
2209,"Pyrimidine_Aspartate",-0.734405756821795,0.801217042510968,0.9140625,0.848484848484849
2630,"Sigma54_targets",-1.40984383850988,2.96124447383042,0.0843380337988626,6.13980288448064e-31
2630,"Anti_sigma_system",-1.00289190013934,0.840188645199203,0.823340040241449,0.8575
2630,"Glycine_cleavage",-1.15384880314094,1.4142632608125,0.823340040241449,0.0892967595293219
2630,"NO_reductase",0.88955541768865,1.24523785813778,0.823340040241449,0.444444444444444
2630,"PFLU1132_pathway",-0.836502496338655,-0.452511519633969,0.823340040241449,0.988571428571429
2630,"Pyrimidine_Aspartate",0.678478687629895,1.14086811985793,0.843564356435644,0.528301886792453
4895,"Sigma54_targets",2.55731734740571,1.23074859807465,4.74244549125011e-23,0.169719827586207
4895,"Glycine_cleavage",1.45774107112364,1.50401544063856,0.0018181242191263,0.00466456572547542
4895,"NO_reductase",-1.54610895830798,1.35997870163045,0.0483741745456039,0.169719827586207
4895,"PFLU1132_pathway",-1.25588496041457,-1.65184216062623,0.32762312633833,0.0076398264576445
4895,"Anti_sigma_system",-0.853475875417335,-1.20126421672726,0.834577603143419,0.305732484076433
4895,"Pyrimidine_Aspartate",-0.609658313746481,-0.950014370909678,0.88865096359743,0.557303370786517
