"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","strain","RHA","set_size_in_data"
"Sigma54_targets",2.14198508814428e-30,1.07099254407214e-29,1.43181244608859,0.857611775515333,2.34331038694162,181,"PFLU_2216;PFLU_2214;PFLU_2215;PFLU_2212;PFLU_2220;PFLU_2221;PFLU_2213;PFLU_2058;PFLU_3420;PFLU_2057;PFLU_0469;PFLU_3421;PFLU_3422;PFLU_2223;PFLU_2056;PFLU_2730;PFLU_3423;PFLU_2224;PFLU_2222;PFLU_2219;PFLU_3419;PFLU_2218;PFLU_2055;PFLU_3745;PFLU_2211;PFLU_4609;PFLU_4607;PFLU_2210;PFLU_4608;PFLU_2791;PFLU_5903;PFLU_3746;PFLU_2383;PFLU_2384;PFLU_1747;PFLU_4730;PFLU_2802;PFLU_1000;PFLU_4611;PFLU_2790;PFLU_2789;PFLU_4729;PFLU_0560;PFLU_4728;PFLU_2385;PFLU_3743;PFLU_4610;PFLU_5904;PFLU_4731;PFLU_2338;PFLU_3425;PFLU_4427;PFLU_5906;PFLU_3426;PFLU_0587;PFLU_3135;PFLU_4429;PFLU_4026;PFLU_0586;PFLU_0561;PFLU_2337;PFLU_2803;PFLU_4425;PFLU_3744;PFLU_4734;PFLU_1001;PFLU_0585;PFLU_4428;PFLU_0563;PFLU_4426;PFLU_0588;PFLU_0584;PFLU_3136;PFLU_1003;PFLU_0562;PFLU_2325;PFLU_1002;PFLU_4423;PFLU_4717;PFLU_3742;PFLU_3741;PFLU_3582;PFLU_5905;PFLU_0553;PFLU_2700;PFLU_4955;PFLU_0556;PFLU_4422;PFLU_0551;PFLU_5248;PFLU_0555",2209,"NoRha",181
"NO_reductase",0.00539492680855125,0.0134873170213781,0.407017918923954,-0.834667243936301,-1.78450544270542,9,"PFLU_5143;PFLU_5897;PFLU_5141",2209,"NoRha",9
"Anti_sigma_system",0.0177483130253776,0.0295805217089627,0.352487857583619,0.700476555328671,1.59534542267076,31,"PFLU_4454;PFLU_4731;PFLU_4427;PFLU_4428;PFLU_0535;PFLU_3777;PFLU_4438",2209,"NoRha",31
"Glycine_cleavage",0.456743002544529,0.570928753180662,0.0610363728309177,0.438217180430884,1.03084271933071,42,"PFLU_4610;PFLU_4896;PFLU_4897;PFLU_5648;PFLU_5650",2209,"NoRha",42
"Pyrimidine_Aspartate",0.848623853211009,0.848623853211009,0.0959206777921745,-0.246258679613069,-0.742531903497289,40,"PFLU_5897;PFLU_6094;PFLU_5988;PFLU_5755;PFLU_3944;PFLU_5473;PFLU_4750;PFLU_3942;PFLU_0898;PFLU_5759;PFLU_0611",2209,"NoRha",40
"Sigma54_targets",3.02177201887861e-46,1.51088600943931e-45,1.77414997679975,0.839637274477192,2.80407863510764,181,"PFLU_4608;PFLU_4611;PFLU_4609;PFLU_4607;PFLU_2384;PFLU_2730;PFLU_3423;PFLU_0560;PFLU_3419;PFLU_4610;PFLU_3420;PFLU_3745;PFLU_2385;PFLU_3746;PFLU_3743;PFLU_3422;PFLU_2383;PFLU_3421;PFLU_0562;PFLU_3744;PFLU_3426;PFLU_3425;PFLU_2337;PFLU_4729;PFLU_0469;PFLU_4728;PFLU_2057;PFLU_2056;PFLU_4426;PFLU_2058;PFLU_5905;PFLU_2055;PFLU_4427;PFLU_4730;PFLU_0561;PFLU_5904;PFLU_4428;PFLU_2338;PFLU_1747;PFLU_3741;PFLU_0586;PFLU_2803;PFLU_4818;PFLU_4422;PFLU_5903;PFLU_2790;PFLU_4425;PFLU_0587;PFLU_3583;PFLU_0556;PFLU_3135;PFLU_5906;PFLU_2326;PFLU_2339;PFLU_4424;PFLU_3136;PFLU_2789;PFLU_2324;PFLU_2802;PFLU_4717;PFLU_4734;PFLU_4423;PFLU_0585;PFLU_2791;PFLU_3742;PFLU_5248;PFLU_1000;PFLU_2325;PFLU_0584;PFLU_1001;PFLU_4436;PFLU_4435;PFLU_4026;PFLU_0588;PFLU_0563;PFLU_4518;PFLU_2215;PFLU_2218;PFLU_4430;PFLU_2323;PFLU_2213;PFLU_0583;PFLU_4438;PFLU_2214;PFLU_1002;PFLU_4437;PFLU_2216;PFLU_4439;PFLU_2212;PFLU_1003;PFLU_4731;PFLU_4429;PFLU_2211;PFLU_0554;PFLU_2210;PFLU_1991;PFLU_3584;PFLU_2223;PFLU_2220;PFLU_2035;PFLU_2222;PFLU_2219;PFLU_2221;PFLU_2224;PFLU_1992;PFLU_4833;PFLU_2700;PFLU_4096;PFLU_1988;PFLU_0555;PFLU_4098;PFLU_4442;PFLU_4644;PFLU_1990;PFLU_1122;PFLU_1989;PFLU_1630;PFLU_4099",2209,"Rha",181
"Anti_sigma_system",0.0068530584846332,0.017132646211583,0.407017918923954,0.636589325218426,1.6599143188211,31,"PFLU_4454;PFLU_4427;PFLU_4428;PFLU_4438;PFLU_3777;PFLU_4731",2209,"Rha",31
"Glycine_cleavage",0.35230352303523,0.58717253839205,0.0770736734944102,0.392554513355531,1.09364037806875,42,"PFLU_4610;PFLU_5406",2209,"Rha",42
"NO_reductase",0.8760907504363,0.946866485013624,0.0454967810085007,0.301207701347319,0.609194667516604,9,"PFLU_5142;PFLU_5143;PFLU_2626;PFLU_5897;PFLU_6033",2209,"Rha",9
"Pyrimidine_Aspartate",0.946866485013624,0.946866485013624,0.0302754424728262,0.22942619205733,0.632144026142808,40,"PFLU_0673;PFLU_3944;PFLU_4364;PFLU_2710;PFLU_0611;PFLU_2111;PFLU_3942;PFLU_1156;PFLU_5758;PFLU_5759;PFLU_5473;PFLU_5757;PFLU_5755;PFLU_5897;PFLU_5988",2209,"Rha",40
