strain,rhamnose,p_value,delta,median_sigma,median_other
0286,NoRha,6.015397486679192e-8,-0.09827947662158643,-0.09412917428313694,0.004150302338449485
0286,Rha,1.5145813757756127e-51,1.1528097682078906,1.1377571145217056,-0.015052653686185025
2209,NoRha,1.1215220726690496e-37,0.4947635366130805,0.4869960728202565,-0.007767463792824003
2209,Rha,3.5985798721261342e-40,0.6580263422103965,0.6459095676728737,-0.012116774537522801
2630,NoRha,0.01172510494831743,-0.07098470478054875,-0.07004720764924688,9.374971313018676e-4
2630,Rha,1.982724374707765e-17,0.315707011216972,0.30667045105031754,-0.00903656016665444
4895,NoRha,9.357142855321661e-29,0.3977416293492473,0.393356024007967,-0.0043856053412802964
4895,Rha,0.011347583472832311,0.2579956933624894,0.2518294443698368,-0.006166248992652612
